image,IoU_Pothole,mIoU,Dice,PixelAcc,Precision,Recall,F1
train_004,0.3203,0.6316,0.4852,0.9444,0.3493,0.7941,0.4852
train_013,0.0894,0.2164,0.1641,0.3832,0.0906,0.8719,0.1641
train_014,0.1663,0.4257,0.2852,0.7037,0.1907,0.5651,0.2852
train_016,0.6544,0.4735,0.7911,0.6976,0.7403,0.8493,0.7911
train_017,0.2726,0.5555,0.4284,0.8475,0.2736,0.9876,0.4284
train_023,0.5348,0.6787,0.6969,0.8527,0.6921,0.7017,0.6969
train_024,0.316,0.4461,0.4803,0.6455,0.3348,0.8495,0.4803
train_036,0.5732,0.6676,0.7287,0.8196,0.6085,0.9081,0.7287
train_037,0.6089,0.6621,0.7569,0.8028,0.6393,0.9277,0.7569
train_041,0.1804,0.4932,0.3056,0.814,0.3395,0.2779,0.3056
train_045,0.0842,0.3843,0.1553,0.6934,0.0885,0.634,0.1553
train_048,0.2647,0.5822,0.4185,0.9032,0.291,0.7451,0.4185
train_050,0.1977,0.5502,0.3302,0.9049,0.2389,0.5343,0.3302
train_052,0.3131,0.5359,0.4769,0.7826,0.3263,0.8857,0.4769
train_053,0.1601,0.3387,0.276,0.558,0.1643,0.863,0.276
train_058,0.221,0.4235,0.362,0.6619,0.2347,0.7911,0.362
train_065,0.0002,0.4133,0.0004,0.8264,0.0002,0.0157,0.0004
train_073,0.4198,0.6806,0.5913,0.9438,0.4764,0.7793,0.5913
train_081,0.7049,0.8345,0.8269,0.9669,0.7614,0.9047,0.8269
train_083,0.106,0.1865,0.1918,0.3255,0.106,1.0,0.1918
train_085,0.3437,0.4923,0.5116,0.6977,0.6166,0.4372,0.5116
train_100,0.0,0.4872,0.0,0.9744,0.0,0.0,0.0
train_103,0.3174,0.4567,0.4819,0.6599,0.3197,0.9775,0.4819
train_109,0.4598,0.3942,0.6299,0.5728,0.466,0.9718,0.6299
train_112,0.158,0.4011,0.273,0.6665,0.1748,0.6229,0.273
train_113,0.1859,0.3199,0.3135,0.5145,0.3123,0.3147,0.3135
train_114,0.179,0.4772,0.3037,0.7859,0.2415,0.4089,0.3037
train_116,0.4128,0.6831,0.5844,0.9548,0.4489,0.8368,0.5844
train_118,0.0522,0.4315,0.0992,0.8127,0.0573,0.3688,0.0992
train_121,0.0,0.3691,0.0,0.7383,0.0,0.0,0.0
train_127,0.0,0.3668,0.0,0.7336,0.0,0.0,0.0
train_138,0.5447,0.7207,0.7052,0.9081,0.5546,0.9683,0.7052
train_150,0.5649,0.6202,0.722,0.7717,0.6673,0.7864,0.722
train_152,0.0,0.4402,0.0,0.8803,0.0,0.0,0.0
train_174,0.1615,0.333,0.2781,0.5477,0.2273,0.3582,0.2781
train_176,0.2142,0.5405,0.3529,0.8715,0.2584,0.5561,0.3529
train_178,0.0,0.4795,0.0,0.9591,0.0,0.0,0.0
train_183,0.0123,0.2227,0.0242,0.437,0.0125,0.4305,0.0242
train_185,0.1157,0.5009,0.2074,0.8877,0.1194,0.7891,0.2074
train_187,0.2462,0.4444,0.3951,0.6799,0.2626,0.7978,0.3951
train_188,0.1748,0.4872,0.2976,0.8077,0.2223,0.4503,0.2976
train_191,0.1502,0.4343,0.2612,0.7317,0.1535,0.8776,0.2612
train_195,0.1771,0.4471,0.3009,0.7334,0.1845,0.8164,0.3009
train_196,0.3265,0.6399,0.4923,0.9543,0.456,0.5348,0.4923
train_216,0.4057,0.5219,0.5773,0.7098,0.4092,0.9793,0.5773
train_218,0.2039,0.1691,0.3388,0.2915,0.2039,1.0,0.3388
train_231,0.0,0.4714,0.0,0.9427,0.0,0.0,0.0
train_234,0.0787,0.4859,0.1459,0.8941,0.9854,0.0788,0.1459
train_237,0.0,0.3894,0.0,0.7789,0.0,0.0,0.0
train_260,0.6633,0.4719,0.7976,0.7024,0.689,0.9468,0.7976
train_276,0.4931,0.6529,0.6605,0.8415,0.5089,0.9409,0.6605
train_281,0.0,0.484,0.0,0.9679,0.0,0.0,0.0
train_284,0.2111,0.3938,0.3486,0.6196,0.2261,0.7608,0.3486
train_289,0.3215,0.6119,0.4866,0.9067,0.4229,0.5729,0.4866
train_297,0.2941,0.4632,0.4546,0.6811,0.3694,0.5908,0.4546
train_303,0.3973,0.4981,0.5687,0.6828,0.4564,0.7541,0.5687
train_304,0.5732,0.7761,0.7287,0.9796,0.7933,0.6738,0.7287
train_310,0.0633,0.4604,0.1191,0.8588,0.0862,0.1929,0.1191
train_311,0.3635,0.6424,0.5332,0.9246,0.3738,0.9298,0.5332
train_318,0.3489,0.4612,0.5174,0.6528,0.4224,0.6675,0.5174
train_323,0.4138,0.5637,0.5854,0.7617,0.5563,0.6177,0.5854
train_327,0.3319,0.6376,0.4984,0.9449,0.3742,0.7462,0.4984
train_329,0.1876,0.4826,0.3159,0.7885,0.1876,0.9997,0.3159
train_333,0.3663,0.276,0.5362,0.4463,0.3668,0.9964,0.5362
train_334,0.1336,0.2637,0.2357,0.4457,0.1336,0.9995,0.2357
train_340,0.0207,0.4745,0.0406,0.9284,0.0255,0.0992,0.0406
train_345,0.2479,0.408,0.3973,0.6219,0.2709,0.745,0.3973
train_348,0.0283,0.3835,0.0551,0.7407,0.0286,0.7735,0.0551
train_351,0.2355,0.2918,0.3812,0.4571,0.2605,0.71,0.3812
train_359,0.5833,0.5423,0.7368,0.7063,0.6158,0.9169,0.7368
train_361,0.3062,0.3207,0.4688,0.486,0.3062,1.0,0.4688
train_362,0.2911,0.2812,0.4509,0.4391,0.2911,1.0,0.4509
train_368,0.3768,0.3919,0.5474,0.5635,0.4028,0.854,0.5474
train_375,0.0705,0.2062,0.1317,0.3732,0.0705,0.9992,0.1317
train_380,0.2734,0.5212,0.4294,0.7875,0.2953,0.7864,0.4294
train_382,0.6279,0.7609,0.7714,0.9101,0.6417,0.9669,0.7714
train_391,0.1676,0.4149,0.2871,0.6836,0.2084,0.4613,0.2871
train_393,0.6885,0.6721,0.8155,0.8045,0.6917,0.9934,0.8155
train_398,0.1154,0.4182,0.207,0.7308,0.1158,0.9764,0.207
train_415,0.0,0.4752,0.0,0.9504,0.0,0.0,0.0
train_416,0.0561,0.4686,0.1062,0.882,0.0574,0.7142,0.1062
train_417,0.3804,0.5874,0.5512,0.8174,0.433,0.7579,0.5512
train_427,0.3489,0.3865,0.5173,0.56,0.3653,0.8857,0.5173
train_434,0.3122,0.4469,0.4759,0.6484,0.3125,0.9968,0.4759
train_436,0.2306,0.5254,0.3748,0.8294,0.2853,0.5462,0.3748
train_448,0.6064,0.7222,0.755,0.8703,0.629,0.9441,0.755
train_455,0.0,0.4893,0.0,0.9786,0.0,0.0,0.0
train_459,0.2562,0.5477,0.4079,0.8476,0.278,0.7659,0.4079
train_463,0.0,0.4471,0.0,0.8941,0.0,0.0,0.0
train_465,0.5333,0.6576,0.6956,0.8254,0.5633,0.9093,0.6956
train_471,0.0886,0.3922,0.1628,0.7045,0.0996,0.4454,0.1628
train_479,0.2217,0.5155,0.363,0.8191,0.8651,0.2297,0.363
train_481,0.064,0.399,0.1203,0.7388,0.0673,0.5658,0.1203
train_484,0.4025,0.6328,0.574,0.8747,0.4052,0.9838,0.574
train_487,0.2431,0.3604,0.3911,0.5527,0.2524,0.8686,0.3911
train_491,0.196,0.3694,0.3278,0.5886,0.1995,0.9195,0.3278
train_497,0.6191,0.6926,0.7647,0.8306,0.6692,0.8921,0.7647
