image,IoU_Pothole,mIoU,Dice,PixelAcc,Precision,Recall,F1
train_004,0.3189,0.6307,0.4835,0.944,0.3476,0.7941,0.4835
train_013,0.1013,0.2656,0.1839,0.4642,0.1028,0.8696,0.1839
train_014,0.1788,0.453,0.3033,0.7424,0.2115,0.536,0.3033
train_016,0.6436,0.4754,0.7832,0.6923,0.7457,0.8246,0.7832
train_017,0.3652,0.6317,0.535,0.9039,0.3716,0.9552,0.535
train_023,0.492,0.6597,0.6595,0.8521,0.7421,0.5934,0.6595
train_024,0.3229,0.4677,0.4882,0.6729,0.3495,0.8092,0.4882
train_036,0.5831,0.6785,0.7366,0.8282,0.6232,0.9006,0.7366
train_037,0.533,0.5945,0.6954,0.7529,0.5875,0.8518,0.6954
train_041,0.1795,0.5073,0.3043,0.8408,0.4272,0.2364,0.3043
train_045,0.0833,0.3858,0.1539,0.6969,0.0878,0.6198,0.1539
train_048,0.2695,0.5858,0.4245,0.9056,0.2968,0.7451,0.4245
train_050,0.2303,0.575,0.3743,0.9216,0.2881,0.5343,0.3743
train_052,0.3014,0.5278,0.4632,0.7777,0.3173,0.8571,0.4632
train_053,0.1822,0.3949,0.3082,0.6391,0.1896,0.8231,0.3082
train_058,0.207,0.4311,0.343,0.6837,0.2293,0.681,0.343
train_065,0.0003,0.4329,0.0005,0.8656,0.0003,0.0157,0.0005
train_073,0.4441,0.6955,0.615,0.9491,0.5079,0.7793,0.615
train_081,0.6309,0.7942,0.7737,0.9603,0.7702,0.7773,0.7737
train_083,0.1125,0.213,0.2022,0.3685,0.1125,1.0,0.2022
train_085,0.3289,0.4874,0.495,0.6983,0.6285,0.4084,0.495
train_100,0.0,0.4872,0.0,0.9744,0.0,0.0,0.0
train_103,0.3704,0.5328,0.5405,0.7416,0.3794,0.9394,0.5405
train_109,0.4546,0.3912,0.625,0.5692,0.4635,0.9597,0.625
train_112,0.1685,0.4324,0.2884,0.7139,0.1922,0.5768,0.2884
train_113,0.1751,0.3444,0.298,0.5592,0.3394,0.2656,0.298
train_114,0.1582,0.4574,0.2732,0.7673,0.2123,0.383,0.2732
train_116,0.5999,0.789,0.7499,0.9788,0.6793,0.8368,0.7499
train_118,0.0518,0.4363,0.0985,0.8226,0.0574,0.3469,0.0985
train_121,0.0,0.3932,0.0,0.7863,0.0,0.0,0.0
train_127,0.0,0.3898,0.0,0.7796,0.0,0.0,0.0
train_138,0.5909,0.7542,0.7429,0.9262,0.6143,0.9397,0.7429
train_150,0.5679,0.6358,0.7244,0.7867,0.7062,0.7435,0.7244
train_152,0.0,0.4478,0.0,0.8957,0.0,0.0,0.0
train_174,0.2188,0.389,0.3591,0.6076,0.2979,0.4518,0.3591
train_176,0.2569,0.5701,0.4087,0.8878,0.306,0.6154,0.4087
train_178,0.0,0.4864,0.0,0.9728,0.0,0.0,0.0
train_183,0.014,0.2352,0.0277,0.4604,0.0143,0.4731,0.0277
train_185,0.1285,0.5131,0.2277,0.8992,0.1328,0.7987,0.2277
train_187,0.3227,0.5184,0.488,0.7484,0.3327,0.9151,0.488
train_188,0.2073,0.5405,0.3434,0.8777,0.3339,0.3535,0.3434
train_191,0.1835,0.4836,0.3101,0.7936,0.1893,0.8581,0.3101
train_195,0.1809,0.4626,0.3063,0.758,0.1918,0.7603,0.3063
train_196,0.245,0.5993,0.3936,0.9542,0.4359,0.3588,0.3936
train_216,0.4319,0.5535,0.6033,0.7394,0.4359,0.9793,0.6033
train_218,0.2083,0.1829,0.3448,0.3103,0.2083,1.0,0.3448
train_231,0.0,0.4861,0.0,0.9722,0.0,0.0,0.0
train_234,0.102,0.4985,0.185,0.8962,0.9437,0.1026,0.185
train_237,0.0209,0.4212,0.0409,0.8223,0.0281,0.0746,0.0409
train_260,0.6409,0.4711,0.7811,0.6891,0.6924,0.8959,0.7811
train_276,0.5041,0.6622,0.6703,0.8481,0.5201,0.9424,0.6703
train_281,0.0,0.489,0.0,0.9779,0.0,0.0,0.0
train_284,0.2225,0.4369,0.3641,0.6829,0.2488,0.6783,0.3641
train_289,0.3263,0.6172,0.492,0.912,0.4437,0.5521,0.492
train_297,0.2598,0.4415,0.4124,0.6673,0.3421,0.519,0.4124
train_303,0.4306,0.5406,0.602,0.7236,0.501,0.754,0.602
train_304,0.4988,0.7366,0.6656,0.975,0.7308,0.6112,0.6656
train_310,0.0397,0.4412,0.0764,0.8438,0.054,0.1305,0.0764
train_311,0.2777,0.5873,0.4347,0.9009,0.2953,0.8232,0.4347
train_318,0.3047,0.4278,0.4671,0.6247,0.3866,0.5901,0.4671
train_323,0.4067,0.566,0.5782,0.7688,0.5747,0.5817,0.5782
train_327,0.3542,0.6514,0.5231,0.9501,0.4027,0.7462,0.5231
train_329,0.2023,0.5002,0.3365,0.8079,0.2024,0.9967,0.3365
train_333,0.2882,0.2432,0.4474,0.3948,0.3165,0.763,0.4474
train_334,0.1411,0.2863,0.2474,0.48,0.1412,0.9995,0.2474
train_340,0.0101,0.4691,0.02,0.9281,0.0127,0.0481,0.02
train_345,0.2717,0.4509,0.4273,0.675,0.3029,0.7249,0.4273
train_348,0.028,0.3808,0.0544,0.7357,0.0282,0.7789,0.0544
train_351,0.2128,0.2924,0.3509,0.4632,0.2453,0.6161,0.3509
train_359,0.5872,0.5542,0.7399,0.7151,0.6264,0.9038,0.7399
train_361,0.3266,0.3609,0.4924,0.5324,0.3266,1.0,0.4924
train_362,0.2981,0.2968,0.4593,0.4578,0.2981,1.0,0.4593
train_368,0.364,0.4023,0.5337,0.5762,0.4044,0.7844,0.5337
train_375,0.0947,0.3259,0.173,0.5767,0.0954,0.9311,0.173
train_380,0.2833,0.5319,0.4415,0.7981,0.3071,0.7851,0.4415
train_382,0.5986,0.7532,0.7489,0.919,0.7288,0.7702,0.7489
train_391,0.1563,0.4341,0.2704,0.7265,0.2141,0.367,0.2704
train_393,0.6556,0.6768,0.792,0.8082,0.7498,0.8393,0.792
train_398,0.1212,0.4296,0.2162,0.7472,0.1217,0.9693,0.2162
train_415,0.0,0.4827,0.0,0.9654,0.0,0.0,0.0
train_416,0.0293,0.4627,0.0569,0.8964,0.0312,0.318,0.0569
train_417,0.3992,0.6094,0.5706,0.8389,0.471,0.7236,0.5706
train_427,0.3553,0.4125,0.5243,0.5897,0.3791,0.8494,0.5243
train_434,0.3373,0.4822,0.5045,0.6865,0.3377,0.9968,0.5045
train_436,0.214,0.5202,0.3525,0.8343,0.278,0.4814,0.3525
train_448,0.5981,0.7173,0.7485,0.8684,0.6287,0.9249,0.7485
train_455,0.0,0.496,0.0,0.9919,0.0,0.0,0.0
train_459,0.2502,0.5437,0.4003,0.8455,0.2727,0.752,0.4003
train_463,0.0,0.4571,0.0,0.9143,0.0,0.0,0.0
train_465,0.5333,0.6739,0.6956,0.847,0.6172,0.797,0.6956
train_471,0.1006,0.4181,0.1828,0.7432,0.115,0.4454,0.1828
train_479,0.2308,0.52,0.375,0.8196,0.8433,0.2411,0.375
train_481,0.0572,0.4084,0.1083,0.7629,0.0614,0.4559,0.1083
train_484,0.4028,0.6331,0.5743,0.8748,0.4055,0.9838,0.5743
train_487,0.2315,0.365,0.376,0.5644,0.2463,0.7935,0.376
train_491,0.2224,0.4327,0.3639,0.676,0.2315,0.8494,0.3639
train_497,0.595,0.6889,0.7461,0.8354,0.7119,0.7837,0.7461
