image,IoU_Pothole,mIoU,Dice,PixelAcc,Precision,Recall,F1
train_004,0.3393,0.6434,0.5067,0.9489,0.372,0.7941,0.5067
train_013,0.0948,0.2407,0.1732,0.4235,0.0962,0.8696,0.1732
train_014,0.1622,0.4372,0.2791,0.7274,0.1929,0.5047,0.2791
train_016,0.6386,0.472,0.7794,0.6881,0.7447,0.8175,0.7794
train_017,0.2983,0.5848,0.4595,0.8781,0.309,0.8954,0.4595
train_023,0.5332,0.682,0.6955,0.8582,0.7217,0.6712,0.6955
train_024,0.3531,0.4982,0.5219,0.7014,0.3775,0.8455,0.5219
train_036,0.563,0.6609,0.7204,0.816,0.6058,0.8885,0.7204
train_037,0.5435,0.6012,0.7043,0.7574,0.5904,0.8726,0.7043
train_041,0.1729,0.5002,0.2948,0.8334,0.3917,0.2364,0.2948
train_045,0.0897,0.4009,0.1646,0.7201,0.0949,0.6198,0.1646
train_048,0.2707,0.5868,0.4261,0.9062,0.2984,0.7451,0.4261
train_050,0.2639,0.5985,0.4176,0.9346,0.3428,0.5343,0.4176
train_052,0.3012,0.5271,0.463,0.7767,0.3167,0.8602,0.463
train_053,0.1687,0.3711,0.2887,0.6074,0.1754,0.8158,0.2887
train_058,0.2082,0.4219,0.3446,0.6675,0.2264,0.7208,0.3446
train_065,0.0002,0.4299,0.0005,0.8595,0.0003,0.0157,0.0005
train_073,0.4843,0.7184,0.6526,0.9545,0.5419,0.82,0.6526
train_081,0.5989,0.7729,0.7491,0.9507,0.6752,0.8413,0.7491
train_083,0.1115,0.2093,0.2006,0.3625,0.1115,1.0,0.2006
train_085,0.3416,0.495,0.5092,0.7027,0.6332,0.4258,0.5092
train_100,0.0,0.4872,0.0,0.9744,0.0,0.0,0.0
train_103,0.3221,0.4646,0.4872,0.6689,0.3251,0.9722,0.4872
train_109,0.452,0.3832,0.6226,0.5621,0.4595,0.9652,0.6226
train_112,0.1689,0.4319,0.2889,0.7128,0.1923,0.5805,0.2889
train_113,0.1793,0.3282,0.3041,0.5307,0.3183,0.291,0.3041
train_114,0.2202,0.496,0.3609,0.7857,0.2736,0.5298,0.3609
train_116,0.5999,0.789,0.7499,0.9788,0.6793,0.8368,0.7499
train_118,0.0425,0.4278,0.0816,0.8146,0.0474,0.2945,0.0816
train_121,0.0,0.3904,0.0,0.7808,0.0,0.0,0.0
train_127,0.0014,0.3657,0.0028,0.73,0.0014,0.0807,0.0028
train_138,0.5543,0.7309,0.7132,0.917,0.5866,0.9095,0.7132
train_150,0.5569,0.6218,0.7154,0.7752,0.6842,0.7495,0.7154
train_152,0.0,0.4529,0.0,0.9059,0.0,0.0,0.0
train_174,0.188,0.3613,0.3165,0.5799,0.2619,0.4,0.3165
train_176,0.2205,0.5469,0.3614,0.8778,0.2694,0.5488,0.3614
train_178,0.0,0.4854,0.0,0.9708,0.0,0.0,0.0
train_183,0.0144,0.2414,0.0283,0.4726,0.0146,0.4731,0.0283
train_185,0.1355,0.5196,0.2387,0.9052,0.1403,0.7987,0.2387
train_187,0.297,0.4873,0.458,0.7162,0.3054,0.9151,0.458
train_188,0.183,0.514,0.3094,0.8502,0.2654,0.3709,0.3094
train_191,0.1835,0.4877,0.3101,0.8012,0.1909,0.8265,0.3101
train_195,0.1833,0.4521,0.3098,0.7374,0.19,0.8384,0.3098
train_196,0.2926,0.6232,0.4527,0.9546,0.4524,0.453,0.4527
train_216,0.416,0.5345,0.5875,0.7218,0.4196,0.9793,0.5875
train_218,0.2076,0.1805,0.3438,0.3071,0.2076,1.0,0.3438
train_231,0.0,0.4819,0.0,0.9639,0.0,0.0,0.0
train_234,0.104,0.4997,0.1883,0.8968,0.9718,0.1043,0.1883
train_237,0.0,0.4124,0.0,0.8248,0.0,0.0,0.0
train_260,0.6299,0.4487,0.7729,0.6739,0.6796,0.8959,0.7729
train_276,0.5074,0.6674,0.6732,0.8535,0.5304,0.9213,0.6732
train_281,0.0,0.4856,0.0,0.9712,0.0,0.0,0.0
train_284,0.2293,0.428,0.3731,0.6639,0.2486,0.7472,0.3731
train_289,0.3265,0.6173,0.4923,0.912,0.444,0.5524,0.4923
train_297,0.2667,0.4488,0.4211,0.6746,0.351,0.5261,0.4211
train_303,0.4278,0.5374,0.5992,0.7207,0.4976,0.753,0.5992
train_304,0.5259,0.7498,0.6893,0.9744,0.681,0.6978,0.6893
train_310,0.0367,0.4408,0.0708,0.8459,0.0505,0.1186,0.0708
train_311,0.3609,0.6418,0.5304,0.926,0.3756,0.9023,0.5304
train_318,0.3158,0.4472,0.48,0.6472,0.4075,0.584,0.48
train_323,0.4333,0.5998,0.6046,0.8017,0.6616,0.5566,0.6046
train_327,0.305,0.6204,0.4675,0.9376,0.3403,0.7462,0.4675
train_329,0.1948,0.4916,0.326,0.7987,0.1949,0.9967,0.326
train_333,0.2852,0.2409,0.4438,0.3916,0.3142,0.7558,0.4438
train_334,0.14,0.2829,0.2456,0.4749,0.14,0.9995,0.2456
train_340,0.0107,0.4713,0.0211,0.9319,0.0135,0.0481,0.0211
train_345,0.2695,0.4474,0.4246,0.6707,0.3,0.7264,0.4246
