image,IoU_Pothole,mIoU,Dice,PixelAcc,Precision,Recall,F1
train_004,0.5581,0.7709,0.7164,0.9839,0.858,0.6149,0.7164
train_013,0.0932,0.4553,0.1706,0.8208,0.1257,0.2654,0.1706
train_014,0.1426,0.5063,0.2497,0.8728,0.3257,0.2024,0.2497
train_016,0.3053,0.3344,0.4677,0.5026,0.8389,0.3243,0.4677
train_017,0.1511,0.5502,0.2626,0.9497,0.8672,0.1547,0.2626
train_023,0.1374,0.4606,0.2415,0.791,0.9721,0.1379,0.2415
train_024,0.04,0.4116,0.0769,0.7851,0.2239,0.0464,0.0769
train_036,0.4167,0.608,0.5883,0.8245,0.7863,0.4699,0.5883
train_037,0.3346,0.5401,0.5014,0.7745,0.9357,0.3425,0.5014
train_041,0.0,0.4231,0.0,0.8461,0.0,0.0,0.0
train_045,0.2246,0.5854,0.3668,0.947,0.3914,0.3452,0.3668
train_048,0.3486,0.6562,0.517,0.9646,0.7123,0.4057,0.517
train_050,0.2604,0.6117,0.4132,0.9635,0.7002,0.293,0.4132
train_052,0.5729,0.7533,0.7285,0.9391,0.7267,0.7302,0.7285
train_053,0.1191,0.502,0.2129,0.8866,0.3305,0.157,0.2129
train_058,0.1497,0.4604,0.2605,0.78,0.2199,0.3194,0.2605
train_065,0.001,0.4835,0.002,0.966,0.0011,0.0157,0.002
train_073,0.1383,0.5459,0.2429,0.9539,0.8395,0.142,0.2429
train_081,0.4062,0.6761,0.5778,0.9478,0.9872,0.4084,0.5778
train_083,0.1911,0.4863,0.3209,0.7923,0.2173,0.6132,0.3209
train_085,0.1258,0.3936,0.2235,0.677,0.8653,0.1283,0.2235
train_100,0.0,0.4984,0.0,0.9967,0.0,0.0,0.0
train_103,0.3679,0.6115,0.5379,0.8663,0.6103,0.4808,0.5379
train_109,0.4808,0.5863,0.6494,0.7602,0.717,0.5935,0.6494
train_112,0.0484,0.4562,0.0923,0.8649,0.1422,0.0683,0.0923
train_113,0.0346,0.3044,0.0669,0.5806,0.1546,0.0427,0.0669
train_114,0.0786,0.4571,0.1457,0.838,0.1831,0.121,0.1457
train_116,0.0,0.481,0.0,0.962,0.0,0.0,0.0
train_118,0.1411,0.5569,0.2474,0.9728,0.5481,0.1597,0.2474
train_121,0.0,0.486,0.0,0.9721,0.0,0.0,0.0
train_127,0.0,0.4851,0.0,0.9702,0.0,0.0,0.0
train_137,0.0,0.4789,0.0,0.9579,0.0,0.0,0.0
train_138,0.5934,0.77,0.7448,0.9504,0.8936,0.6386,0.7448
train_142,0.3309,0.5927,0.4973,0.8642,0.7215,0.3794,0.4973
train_144,0.0909,0.4398,0.1666,0.7931,0.1035,0.4272,0.1666
train_150,0.2026,0.4317,0.3369,0.6877,0.8439,0.2105,0.3369
train_152,0.0,0.4798,0.0,0.9596,0.0,0.0,0.0
train_174,0.0457,0.3893,0.0875,0.7362,0.2756,0.052,0.0875
train_176,0.0613,0.5009,0.1155,0.9408,0.9834,0.0614,0.1155
train_178,0.0,0.495,0.0,0.9899,0.0,0.0,0.0
train_183,0.0,0.4822,0.0,0.9643,0.0,0.0,0.0
train_185,0.2305,0.6053,0.3747,0.9802,0.4531,0.3194,0.3747
train_187,0.1788,0.5329,0.3033,0.8897,0.8786,0.1833,0.3033
train_188,0.1571,0.5379,0.2716,0.9199,0.7672,0.165,0.2716
train_191,0.3036,0.6223,0.4658,0.9426,0.4685,0.463,0.4658
train_195,0.1908,0.544,0.3205,0.8997,0.3058,0.3366,0.3205
train_196,0.0,0.4793,0.0,0.9586,0.0,0.0,0.0
train_216,0.196,0.48,0.3278,0.7769,0.4198,0.2689,0.3278
train_218,0.0596,0.3536,0.1125,0.6553,0.1056,0.1204,0.1125
train_231,0.0,0.494,0.0,0.9881,0.0,0.0,0.0
train_234,0.0505,0.4704,0.0961,0.8909,0.9999,0.0505,0.0961
train_237,0.0,0.473,0.0,0.9461,0.0,0.0,0.0
train_260,0.5176,0.4845,0.6821,0.6547,0.7933,0.5983,0.6821
train_276,0.5055,0.7012,0.6715,0.9068,0.7951,0.5812,0.6715
train_281,0.0,0.4986,0.0,0.9972,0.0,0.0,0.0
train_284,0.0568,0.4548,0.1075,0.8542,0.297,0.0656,0.1075
train_289,0.3939,0.6728,0.5652,0.9532,1.0,0.3939,0.5652
train_297,0.1333,0.4585,0.2353,0.7906,0.6583,0.1432,0.2353
train_303,0.4173,0.608,0.5889,0.824,0.8361,0.4545,0.5889
train_304,0.4552,0.7163,0.6256,0.9778,1.0,0.4552,0.6256
train_310,0.0,0.4708,0.0,0.9415,0.0,0.0,0.0
train_311,0.1941,0.5768,0.3251,0.9598,0.7314,0.209,0.3251
train_318,0.1265,0.4071,0.2245,0.7012,0.4062,0.1552,0.2245
train_323,0.2276,0.4991,0.3708,0.7852,0.9164,0.2324,0.3708
train_327,0.5247,0.7535,0.6883,0.9826,1.0,0.5247,0.6883
train_329,0.3596,0.6601,0.5289,0.9614,0.6549,0.4436,0.5289
train_333,0.2528,0.3596,0.4036,0.548,0.3502,0.4762,0.4036
train_334,0.1211,0.4294,0.216,0.7469,0.1469,0.4077,0.216
train_340,0.0,0.4924,0.0,0.9847,0.0,0.0,0.0
train_345,0.1076,0.455,0.1942,0.8071,0.3224,0.139,0.1942
train_348,0.202,0.5887,0.3362,0.9755,0.2285,0.6359,0.3362
train_351,0.0812,0.3771,0.1503,0.6821,0.2029,0.1193,0.1503
train_359,0.3543,0.4964,0.5232,0.6984,0.8982,0.3691,0.5232
train_361,0.2406,0.5005,0.3878,0.7773,0.515,0.311,0.3878
train_362,0.0664,0.3414,0.1246,0.6265,0.1354,0.1154,0.1246
train_368,0.2525,0.4859,0.4032,0.7435,0.7181,0.2803,0.4032
train_375,0.0,0.4381,0.0,0.8762,0.0,0.0,0.0
train_380,0.2639,0.5823,0.4176,0.9042,0.5467,0.3378,0.4176
train_382,0.1801,0.5221,0.3052,0.868,0.8767,0.1848,0.3052
train_391,0.0248,0.4403,0.0484,0.8563,0.2834,0.0265,0.0484
train_393,0.4773,0.5913,0.6462,0.7678,0.9585,0.4874,0.6462
train_398,0.381,0.6663,0.5518,0.953,0.42,0.8042,0.5518
train_415,0.0,0.4912,0.0,0.9824,0.0,0.0,0.0
train_416,0.0,0.4873,0.0,0.9746,0.0,0.0,0.0
train_417,0.402,0.6469,0.5735,0.8991,0.7657,0.4584,0.5735
train_427,0.3311,0.5364,0.4975,0.7709,0.5978,0.4261,0.4975
train_434,0.1782,0.4951,0.3024,0.8194,0.3961,0.2446,0.3024
train_436,0.1387,0.5075,0.2436,0.8787,0.2928,0.2086,0.2436
train_448,0.1401,0.4685,0.2457,0.8035,0.6557,0.1512,0.2457
train_455,0.0,0.4992,0.0,0.9984,0.0,0.0,0.0
train_459,0.6365,0.8034,0.7779,0.9718,0.8449,0.7207,0.7779
train_463,0.0,0.4915,0.0,0.9831,0.0,0.0,0.0
train_465,0.1913,0.4993,0.3212,0.8158,0.8391,0.1986,0.3212
train_471,0.0,0.4525,0.0,0.9049,0.0,0.0,0.0
train_479,0.1205,0.4588,0.2151,0.8026,1.0,0.1205,0.2151
train_481,0.0,0.4763,0.0,0.9526,0.0,0.0,0.0
train_484,0.3725,0.6543,0.5428,0.9384,0.7468,0.4263,0.5428
train_487,0.1106,0.4194,0.1992,0.7371,0.2007,0.1977,0.1992
train_491,0.2215,0.5321,0.3627,0.8493,0.3367,0.3931,0.3627
train_497,0.0,0.3457,0.0,0.6914,0.0,0.0,0.0
